cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
immunogenicity,quality_outcome,immunogenicity,quality_outcome,induces,90,74,high,an antibody against IDEC-C2B8 (human antichimeric antibody [HACA]) has rarely been produced in vivo
immunogenicity,quality_outcome,efficacy,quality_outcome,decreases,73,67,high,"did not show any difference in antibody titers between the two groups, neither for total HAMA nor for IgG, IgM, or ab2"
amino acid sequence,sequence,binding affinity,quality_outcome,modifies,54,45,high,difference...arises almost entirely from the replacement in BWQL of the...epitope residue Arg68 by lysine.
amino acid sequence,sequence,binding activity,quality_outcome,decreases,53,38,high,Residues important for zinc and antibody binding were determined by site-directed mutagenesis.
aggregation,stability,immunogenicity,quality_outcome,induces,52,41,high,in the context of common infusion reactions and clinical immunogenicity
immunogenicity,quality_outcome,pharmacokinetics,quality_outcome,decreases,46,41,high,"interindividual variability in mAb PK can be explained by several factors, including immune response against the biodrug"
disulfide bond,structure,disulfide bond,structure,modifies,40,33,high,Mass spectrometric analyses indicated that CDR1-CDR3 disulfide formation was universal.
glycosylation,sequence,biological activity,quality_outcome,modifies,38,37,high,glycosylation appears to be sufficient for the production of a ... biologically active IgG in the plant system.
higher-order structure,structure,higher-order structure,structure,correlates,37,32,high,"Because of hinge-region flexibility, it is difficult to obtain atomic-level structural information from the crystal."
fcrn binding,structure,half-life,stability,stabilizes,33,27,high,"Point mutations... attenuate binding affinity to FcRn... resulting in several new antibodies, each with a different half"
fcrn binding,structure,pharmacokinetics,quality_outcome,correlates,29,18,high,the pharmacokinetic profiles of these molecules were not differentiated from the wild-type antibody in cynomolgus monkey
immunogenicity,quality_outcome,clearance,stability,increases,29,24,high,marked increase in drug clearance on day 13 ... attributed to the generation of anti-BMS-191352 antibodies
glycosylation pattern,sequence,biological activity,quality_outcome,modifies,29,24,high,which can interfere with effector functions of the antibody
thermal stress,stress,aggregation,stability,promotes,29,28,high," ""thermal unfolding of this protein"" and sensitivity to ""temperature stress"""
immunogenicity,quality_outcome,binding activity,quality_outcome,inhibits,29,23,high,Binding activity ... of A7-neocarzinostatin against target cells was reduced in the presence of sera containing HAMA.
disulfide bond,structure,fragmentation,stability,promotes,28,25,high,reoxidation ... 46% of the antibody was trapped in the intrachain disulfide form (producing half-antibody)
excipients,formulation,aggregation,stability,inhibits,26,26,high,Lactose had a similar stabilizing effect
binding activity,structure,biological activity,quality_outcome,correlates,25,23,high,No correlation was found between the ability of the mAb to clear the sIL-6R and to immunoprecipitate them in agarose gel
self-association,structure,viscosity,stability,increases,25,23,high,MAb-H and -A showed significantly higher viscosities ... k(D) indicated ... attractive for MAb-H and -A
pharmacokinetics,quality_outcome,efficacy,quality_outcome,correlates,24,20,high,"When the serum level of IDEC-C2B8 was kept elevated, clinical responses were apparently observed"
amino acid sequence,sequence,immunogenicity,quality_outcome,induces,24,19,high,The plant-derived mAbs with addition of a KDEL sequence did not contain any of the known antigenic glycan epitopes
self-association,structure,aggregation,stability,promotes,24,24,high,Nonlinear Debye plots at pH 4.0 indicated self-association and both proteins readily aggregated at pH 4.0.
low ph,stress,aggregation,stability,promotes,23,22,high,The elevated aggregation levels induced by ... low pH ... could be successfully predicted by this thermal stability scre
fragmentation,sequence,fragmentation,stability,fragments,23,22,high,heavy chain is not covalently linked through the hinge disulfides to another heavy chain (half-antibody)
immunogenicity,quality_outcome,biological activity,quality_outcome,inhibits,23,18,high,Antitumor activity of A7-neocarzinostatin against target cells was reduced in the presence of sera containing HAMA.
binding affinity,quality_outcome,biological activity,quality_outcome,modifies,23,20,high,"In spite of the lower affinity, the humanized scFv ... expanded human peripheral blood mononuclear cells (PBMCs) in MLR"
stress conditions,stress,aggregation,stability,promotes,23,18,high,A host of diverse stress techniques was applied to a monoclonal antibody (IgG(2)) to yield protein particles
glycosylation,sequence,efficacy,quality_outcome,modifies,22,20,high,glycoengineering for directed glycosylation of therapeutic proteins can improve the therapeutic effect
adsorption,structure,adsorption,structure,correlates,22,20,high,Neutron reflection revealed the formation of a 40 A uniform layer ... indicating a flat-on orientation
elevated temperature,stress,aggregation,stability,promotes,22,21,high,Degradation was measured by size exclusion HPLC (aggregate formation) ... R increased sharply with increasing temperatur
amino acid sequence,sequence,higher-order structure,structure,modifies,21,19,high,conformational multiplicities observed ... is caused by a substitution of an amino acid residue at the position of a key
biological activity,quality_outcome,efficacy,quality_outcome,correlates,21,19,high,its antitumor activity in mice was <2-fold that of the monovalent immunotoxin
high concentration,formulation,viscosity,stability,increases,21,21,high,comparative rheology ... showed a high solution storage modulus (G') and its sharp increase in magnitude at high concent
aggregation,stability,efficacy,quality_outcome,decreases,20,20,high,"protein aggregation is a common issue that compromises the quality, safety, and efficacy of antibodies"
ph,formulation,aggregation,stability,promotes,20,17,high,Both proteins readily aggregated at pH 4.0 (no aggregation observed at pH 7.4).
amino acid sequence,sequence,biological activity,quality_outcome,modifies,20,19,high,Both mAbs show potent inhibition of in vitro T cell responses
clearance,stability,pharmacokinetics,quality_outcome,decreases,20,19,high,RG7160 exposure increased greater than proportionally over the 50- to 400-mg dose range (with greater than proportional 
agitation,stress,aggregation,stability,promotes,20,17,high,We demonstrate the utility of k(D) and k(s) as qualitative predictors of protein aggregation through agitation and accel
glycosylation,sequence,glycosylation,sequence,modifies,19,18,high,"G0 glycoforms ... can be galactosylated with a modified galactose ... using a mutant beta1,4-galactosyltransferase"
light exposure,stress,aggregation,stability,induces,19,16,high,Exposure to UV light resulted in aggregation
glycosylation,sequence,binding activity,quality_outcome,modifies,19,14,high,"Removal of O-linked oligosaccharides ... did not restore the immunoreactivity of cMu-9-1, indicating ... not the cause"
ph,formulation,adsorption,stability,modifies,19,11,high,"away from the IP, both initial adsorption rate and surface excess decreased, with the reduction at pH 8.0 being more pro"
fcrn binding,structure,clearance,quality_outcome,decreases,18,13,high,increased binding to FcRn reduces the nonspecific elimination rate (K(el)) of MTRX1011A by ~50%
oxidation,stress,oxidation,stability,oxidizes,18,17,high,exposed to the physiological oxidizing agent hemin
n-glycosylation,sequence,biological activity,quality_outcome,modifies,18,17,high,contains an asparagine-linked biantennary complex type oligosaccharide...which is necessary for its in vivo effector fun
ph,formulation,net charge,structure,modifies,18,15,high,Z changes slowly between pH 5.0 and 9.0
excipients,formulation,viscosity,stability,decreases,18,17,high,"dependent on protein concentration, pH, and ionic strength of buffer and charged excipients."
charge variants,sequence,charge variants,quality_outcome,modifies,18,17,high,Both CIEX and cIEF methods can separate heavy-chain C-terminal variants; cIEF determines isoelectric points (pI) of anti
disulfide bond,structure,higher-order structure,structure,stabilizes,17,15,high,structurally distinct forms caused by multiple disulfide bond structures.
agitation stress,stress,aggregation,stability,induces,17,17,high,"Antibody aggregation was induced by four different stress factors: high temperature, low pH, addition of fatty acids, an"
glycosylation,sequence,glycosylation pattern,sequence,modifies,17,17,high,oligosaccharides released from IgG-Fab are galactosylated and sialylated
asp isomerization,sequence,asp isomerization,stability,promotes,17,10,high,differences in the Asp isomerization rates ... can be attributed to structural factors including ... the extent of solve
ph,formulation,conformational stability,stability,stabilizes,17,11,high,Thermodynamic stability of native IgG(2) conformation increased with increasing pH.
protein-protein interactions,structure,viscosity,stability,increases,17,17,high,These interactions lead to unique biophysical challenges ... including high apparent viscosity and viscoelasticity.
adsorption,stress,aggregation,stability,promotes,17,16,high,stability differences were best correlated to... total protein surface accumulation.
elevated temperature,stress,fragmentation,stability,increases,17,16,high,thermally induced fragmentation of nonreduced labeled rMAb samples
clearance,stability,clearance,stability,increases,17,14,high,This faster clearance is explained as the result of clearance from circulation and concomitant clearance of drug from ci
amino acid sequence,sequence,aggregation,stability,modifies,16,14,high,Very high yields of soluble protein products and lack of protein aggregation ... indicated that the V(H) sequence ... wa
amino acid sequence,sequence,fcrn binding,structure,modifies,16,11,high,"N434H, with the highest binding affinity to murine FcRn at pH 7.4"
higher-order structure,structure,binding activity,quality_outcome,modifies,16,15,high,epitope is formed ... in a helical conformation that mimics the structure in the protein
aggregation,stability,biological activity,quality_outcome,induces,16,15,high,necessity to reactivate proteins at low protein concentrations due to its tendency to aggregate at high concentrations
higher-order structure,structure,stability,stability,modifies,16,16,medium,We propose that the difference lies in the contribution of buried water molecules to the NA-NC10 complex.
oxidative stress,stress,oxidation,stability,oxidizes,16,15,high,the sample treated with tBHP showed peaks with increase of only 16 Da.
concentration,formulation,aggregation,stability,promotes,15,14,high,All the parameters examined demonstrated some effect on the formation of soluble aggregates.
